12	551
23	555
24	337
14	363
59	433
6	340
6	551
88	392
16	355
13	344
57	426
104	511
61	496
7	522
7	407
23	503
28	400
14	540
7	500
12	352
7	359
12	511
8	481
23	403
105	348
54	385
11	403
12	337
84	437
6	385
6	551
46	392
126	477
11	377
7	385
11	540
125	340
56	344
98	370
57	359
7	352
6	437
8	433
61	540
32	392
58	444
13	433
90	496
7	503
7	411
27	422
14	440
123	381
87	481
16	451
24	440
11	414
11	355
31	426
114	422
29	492
14	374
62	540
15	492
46	396
6	381
11	348
62	400
59	470
14	385
5	355
7	451
28	525
98	551
48	381
14	533
85	448
22	392
113	400
104	555
6	385
47	333
126	389
11	337
126	492
24	503
11	470
124	370
13	374
11	514
84	492
56	525
112	389
54	363
26	459
14	355
6	507
30	348
55	337
13	403
15	466
12	348
23	333
11	433
7	352
58	555
58	485
15	385
13	507
12	426
54	463
15	544
30	414
46	540
15	544
7	340
122	422
61	363
5	429
5	392
43	455
24	340
7	444
13	407
11	488
113	511
12	496
7	426
14	381
7	444
58	492
11	500
6	333
13	544
125	370
6	337
29	540
95	533
14	448
30	400
6	525
58	463
91	544
7	537
95	551
7	389
21	555
50	333
16	548
7	359
91	333
112	392
96	470
51	363
24	485
16	470
7	485
28	459
113	518
30	533
29	407
90	507
28	455
7	522
122	437
7	555
54	437
13	485
91	426
8	377
7	422
29	503
103	363
112	440
95	511
117	451
7	411
22	459
7	514
112	511
12	551
96	374
13	396
6	348
7	400
13	455
25	518
97	451
103	544
28	433
24	540
7	422
100	522
31	548
6	433
25	396
59	548
6	481
45	533
12	500
7	433
114	463
90	389
12	529
85	500
57	481
15	363
106	418
47	340
102	548
28	507
62	389
6	363
104	340
57	355
6	459
29	352
31	518
14	511
53	437
28	389
51	474
12	433
61	348
51	503
102	333
27	366
7	466
58	492
11	414
11	540
22	511
14	488
124	363
43	366
6	522
12	407
8	518
6	370
25	337
15	414
26	363
89	411
88	444
58	392
56	537
8	389
26	426
30	529
125	529
7	426
43	411
26	366
13	525
89	485
86	385
13	359
27	525
12	337
7	400
25	370
106	474
47	470
104	496
102	355
50	352
59	459
105	522
6	337
90	500
14	359
14	403
29	522
13	540
26	407
11	440
57	418
27	352
85	444
24	477
14	340
15	400
8	555
116	540
58	488
12	407
28	503
124	514
110	433
7	548
12	503
14	503
31	485
30	363
27	551
29	496
7	433
107	496
15	340
26	348
14	448
11	366
116	466
15	344
7	403
13	444
123	385
113	389
52	492
6	548
28	548
7	411
15	337
26	377
52	333
6	500
117	459
105	370
108	488
88	396
7	355
86	396
14	514
58	337
6	359
118	544
27	555
11	414
6	496
6	470
7	333
6	448
28	400
55	403
30	459
30	477
11	433
6	507
6	381
114	352
7	403
106	363
63	385
57	474
91	459
84	448
59	352
50	500
16	488
6	363
16	477
46	344
28	348
108	474
15	500
12	337
11	503
105	377
24	340
109	455
11	396
42	414
47	481
15	522
13	400
6	463
23	470
12	426
95	437
12	429
7	477
84	403
11	437
111	511
6	422
5	451
121	507
13	389
29	340
93	463
56	500
109	414
85	477
12	433
25	514
14	525
